ArbiBird #1: Background: Blue, Beak: Stark - Gray, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Visor (Jade), Outerwear: Captain's Cap
ArbiBird #6919: Background: Blue, Beak: Glitch - Legendary Emperor, Body: Long - Golden, Eyes: Gold Chain, Eyewear: Closed (Enlightened), Headwear: Sunglasses, Outerwear: Backwards Hat
ArbiBird #6920: Background: Blue, Beak: Sage - Red, Body: Long - Robot, Eyes: Gold Chain, Eyewear: Open - Adorable, Headwear: 3D Glasses, Outerwear: Gremplin
ArbiBird #6921: Background: Blue, Beak: Glitch - Legendary Professor, Body: Small (Cosmic), Eyes: Hero's Tunic, Eyewear: Angry - Skeleton, Headwear: Half-moon Spectacles, Outerwear: Parliament Mask (Jade)
ArbiBird #6922: Background: Blue, Beak: Tabby - Blue, Body: Short - Robot, Eyes: Hero's Tunic, Eyewear: Side-eye - Blue, Headwear: Monocle (Jade), Outerwear: Crescent Talisman (Jade)
ArbiBird #6923: Background: Blue, Beak: Brave - White, Body: Long - Golden, Eyes: Hoodie, Eyewear: Relaxed - White, Headwear: Visor (Jade), Outerwear: Grail
ArbiBird #6924: Background: Blue, Beak: Jade - Legendary Guardian, Body: Short - Golden, Eyes: Diamond Necklace, Eyewear: Adorable - Ruby, Headwear: Rose-Colored Glasses, Outerwear: Backwards Hat
ArbiBird #6925: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Robot, Eyes: Hoodie, Eyewear: Fire - Ruby, Headwear: Black-rimmed Glasses, Outerwear: Tiny Crown
ArbiBird #6926: Background: Blue, Beak: Stark - Green, Body: Long - Gray, Eyes: Hero's Tunic, Eyewear: Open - Adorable, Headwear: Black-rimmed Glasses, Outerwear: Diamond
ArbiBird #6927: Background: Blue, Beak: Crescent - Blue, Body: Small (Jade), Eyes: None, Eyewear: Open - Purple, Headwear: None, Outerwear: Witch's Hat
ArbiBird #6928: Background: Blue, Beak: Professor - Gray, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Open - Golden, Headwear: Sunglasses, Outerwear: None
ArbiBird #6929: Background: Blue, Beak: Cosmic - Legendary Crescent, Body: Small - Golden, Eyes: Hoodie, Eyewear: Discerning - Green, Headwear: Visor, Outerwear: Lincoln
ArbiBird #6930: Background: Blue, Beak: Cosmic - Legendary Crescent, Body: Short (Jade), Eyes: Hero's Tunic, Eyewear: Angry - Ruby, Headwear: Eyepatch, Outerwear: Mohawk (Pink)
ArbiBird #6931: Background: Blue, Beak: Guardian - Gray, Body: Long - Robot, Eyes: Hoodie, Eyewear: Open - Robot, Headwear: Visor (Jade), Outerwear: Bucket Hat
ArbiBird #6932: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Small (Cosmic), Eyes: Punk Jacket, Eyewear: Relaxed - Red, Headwear: Big Tech, Outerwear: Mohawk (Jade)
ArbiBird #6933: Background: Blue, Beak: Emperor - Pink, Body: Short (Jade), Eyes: Punk Jacket, Eyewear: Fire - Ruby, Headwear: Jobs Glasses, Outerwear: Bucket Hat
ArbiBird #6934: Background: Blue, Beak: Enlightened - Legendary Sage, Body: Short - Robot, Eyes: Hero's Tunic, Eyewear: Open - Red, Headwear: Sunglasses, Outerwear: Durag
ArbiBird #6935: Background: Blue, Beak: Emperor - White, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Discerning - Yellow, Headwear: Big Tech, Outerwear: Tiara
ArbiBird #6936: Background: Blue, Beak: Professor - Pink, Body: Small - Orange, Eyes: Bomber Jacket, Eyewear: Discerning - White, Headwear: Monocle, Outerwear: Fire
ArbiBird #6937: Background: Blue, Beak: Tranquil - Gray, Body: Short (Jade), Eyes: Hoodie, Eyewear: Discerning - Purple, Headwear: Rose-Colored Glasses, Outerwear: Crescent Talisman
ArbiBird #6938: Background: Blue, Beak: Tabby - Purple, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Relaxed - White, Headwear: Half-moon Spectacles, Outerwear: Crescent Talisman
ArbiBird #6939: Background: Blue, Beak: Brave - Green, Body: Small - Ruby, Eyes: None, Eyewear: Fire - Ruby, Headwear: Visor (Jade), Outerwear: Witch's Hat
ArbiBird #6940: Background: Blue, Beak: Cosmic - Legendary Brave, Body: Long - Gray, Eyes: Punk Jacket, Eyewear: Fire - Ruby, Headwear: Big Tech, Outerwear: Space Helmet
ArbiBird #6941: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Small - Robot, Eyes: Bomber Jacket, Eyewear: Open - Golden, Headwear: Monocle, Outerwear: Captain's Cap
ArbiBird #6942: Background: Blue, Beak: Jade - Legendary Professor, Body: Small - Orange, Eyes: Gold Chain, Eyewear: Open - Moon, Headwear: Aviators, Outerwear: Rubber Duck
ArbiBird #6943: Background: Blue, Beak: Jade - Legendary Crescent, Body: Small - Orange, Eyes: Gold Chain, Eyewear: Relaxed - Red, Headwear: Gazelles, Outerwear: Karate Band
ArbiBird #6944: Background: Blue, Beak: Emperor - Pink, Body: Small - Robot, Eyes: Jean Jacket, Eyewear: Angry - Golden, Headwear: Sunglasses, Outerwear: Diamond
ArbiBird #6945: Background: Blue, Beak: Stark - White, Body: Long - Skeleton, Eyes: Diamond Necklace, Eyewear: Relaxed - Gray, Headwear: Sunglasses, Outerwear: Dancing Flame
ArbiBird #6946: Background: Blue, Beak: Brave - White, Body: Short - Skeleton, Eyes: Punk Jacket, Eyewear: Open - Skeleton, Headwear: 3D Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #6947: Background: Blue, Beak: Crescent - Purple, Body: Long - Golden, Eyes: None, Eyewear: Relaxed - Skeleton, Headwear: Rose-Colored Glasses, Outerwear: Rubber Duck
ArbiBird #6948: Background: Blue, Beak: Skeleton - Bone, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Adorable - Ruby, Headwear: Monocle, Outerwear: Dancing Flame (Jade)
ArbiBird #6949: Background: Blue, Beak: Sage - Gray, Body: Small - Gray, Eyes: Hero's Tunic, Eyewear: Open - Blue, Headwear: Rose-Colored Glasses, Outerwear: Dancing Flame
ArbiBird #6950: Background: Blue, Beak: Guardian - Black, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Angry - Purple, Headwear: None, Outerwear: Durag
ArbiBird #6951: Background: Blue, Beak: Emperor - Purple, Body: Small (Enlightened), Eyes: Diamond Necklace, Eyewear: Glitch 6, Headwear: Sunglasses, Outerwear: Raincloud
ArbiBird #6952: Background: Blue, Beak: Tranquil - Blue, Body: Small - Ruby, Eyes: Punk Jacket, Eyewear: Fire - Ruby, Headwear: Monocle (Jade), Outerwear: Flower
ArbiBird #6953: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Long - Ruby, Eyes: None, Eyewear: Open (Enlightened), Headwear: Gazelles, Outerwear: Unicorn Horn (Jade)
ArbiBird #6954: Background: Blue, Beak: Jade - Legendary Sage, Body: Long - Golden, Eyes: Gold Chain, Eyewear: Angry - Red, Headwear: 3D Glasses, Outerwear: Tiny Crown (Jade)
ArbiBird #6955: Background: Blue, Beak: Crescent - Purple, Body: Short (Jade), Eyes: Hero's Tunic, Eyewear: Open (Cosmic), Headwear: 3D Glasses, Outerwear: Space Helmet
ArbiBird #6956: Background: Blue, Beak: Brave - Green, Body: Long - Golden, Eyes: Jean Jacket, Eyewear: Open - Golden, Headwear: 3D Glasses, Outerwear: Skully
ArbiBird #6957: Background: Blue, Beak: Sage - Purple, Body: Short (Jade), Eyes: Diamond Necklace, Eyewear: Relaxed - Blue, Headwear: Monocle, Outerwear: Skully
ArbiBird #6958: Background: Blue, Beak: Sage - Blue, Body: Long - Skeleton, Eyes: Hero's Tunic, Eyewear: Rainbow - Epic, Headwear: Black-rimmed Glasses, Outerwear: Durag
ArbiBird #6959: Background: Blue, Beak: Tranquil - White, Body: Small (Jade), Eyes: Gold Chain, Eyewear: Discerning - Skeleton, Headwear: Visor, Outerwear: Halo (Enlightened Variant)
ArbiBird #6960: Background: Blue, Beak: Cosmic - Legendary Sage, Body: Short - Orange, Eyes: Hoodie, Eyewear: Glitch 3, Headwear: Big Tech, Outerwear: Dancing Flame
ArbiBird #6961: Background: Blue, Beak: Tranquil - White, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Discerning - Golden, Headwear: Big Tech, Outerwear: Pirate's Hat
ArbiBird #6962: Background: Blue, Beak: Tabby - Gray, Body: Short - Robot, Eyes: Hero's Tunic, Eyewear: Relaxed - Red, Headwear: Black-rimmed Glasses, Outerwear: Moon Hat
ArbiBird #6963: Background: Blue, Beak: Sage - Brown, Body: Long - Robot, Eyes: Hero's Tunic, Eyewear: Angry - Purple, Headwear: Eyepatch, Outerwear: Durag
ArbiBird #6964: Background: Blue, Beak: Brave - Gray, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Discerning - Skeleton, Headwear: Sunglasses, Outerwear: Halo (Jade)
ArbiBird #6965: Background: Blue, Beak: Jade - Legendary Brave, Body: Small - Robot, Eyes: Hero's Tunic, Eyewear: Glitch 3, Headwear: Visor, Outerwear: Bow
ArbiBird #6966: Background: Blue, Beak: Stark - Brown, Body: Small - Orange, Eyes: Diamond Necklace, Eyewear: Glitch 1, Headwear: 3D Glasses, Outerwear: Captain's Cap
ArbiBird #6967: Background: Blue, Beak: Crescent - White, Body: Small - Orange, Eyes: None, Eyewear: Discerning - White, Headwear: Sunglasses, Outerwear: Mohawk (Pink)
ArbiBird #6968: Background: Blue, Beak: Professor - Black, Body: Small (Enlightened), Eyes: Punk Jacket, Eyewear: Adorable - Epic, Headwear: Jobs Glasses, Outerwear: Halo (Jade)
ArbiBird #6969: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Small - Ruby, Eyes: Diamond Necklace, Eyewear: Relaxed - Blue, Headwear: Visor, Outerwear: Unicorn Horn (Jade)
ArbiBird #6970: Background: Blue, Beak: Tabby - White, Body: Short (Jade), Eyes: Diamond Necklace, Eyewear: Glitch 2, Headwear: None, Outerwear: Fire
ArbiBird #6971: Background: Blue, Beak: Brave - Gray, Body: Short - Gray, Eyes: Diamond Necklace, Eyewear: Discerning - Gray, Headwear: Monocle (Jade), Outerwear: Mohawk (Green)
ArbiBird #6972: Background: Blue, Beak: Guardian - Black, Body: Small - Ruby, Eyes: Hoodie, Eyewear: Side-eye - Blue, Headwear: Rose-Colored Glasses, Outerwear: Queen's Crown
ArbiBird #6973: Background: Blue, Beak: Crescent - Green, Body: Small - Ruby, Eyes: Hero's Tunic, Eyewear: Open - Rainbow, Headwear: Big Tech, Outerwear: Halo
ArbiBird #6974: Background: Blue, Beak: Tabby - Red, Body: Short - Ruby, Eyes: Hero's Tunic, Eyewear: Angry - Red, Headwear: 3D Glasses, Outerwear: Raincloud
ArbiBird #6975: Background: Blue, Beak: Guardian - Blue, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Angry - White, Headwear: Eyepatch, Outerwear: Tiny Crown (Jade)
ArbiBird #6976: Background: Blue, Beak: Sage - White, Body: Short - Skeleton, Eyes: Hoodie Down, Eyewear: Open - Skeleton, Headwear: Eyepatch, Outerwear: Moon Hat
ArbiBird #6977: Background: Blue, Beak: Sage - Green, Body: Small (Enlightened), Eyes: None, Eyewear: Relaxed (Enlightened), Headwear: Sunglasses, Outerwear: Bow
ArbiBird #6978: Background: Blue, Beak: Glitch - Legendary Professor, Body: Small - Robot, Eyes: None, Eyewear: Angry - Yellow, Headwear: Aviators, Outerwear: Parliament Mask (Jade)
ArbiBird #6979: Background: Blue, Beak: Guardian - Green, Body: Small (Cosmic), Eyes: Gold Chain, Eyewear: Side-eye - Gray, Headwear: Monocle, Outerwear: Moon Hat
ArbiBird #6980: Background: Blue, Beak: Guardian - Green, Body: Short (Jade), Eyes: Jean Jacket, Eyewear: Moon - Epic, Headwear: 3D Glasses, Outerwear: Bow
ArbiBird #6981: Background: Blue, Beak: Tabby - Green, Body: Small (Cosmic), Eyes: Hoodie, Eyewear: Open (Jade), Headwear: None, Outerwear: Wizard's Hat (Jade)
ArbiBird #6982: Background: Blue, Beak: Brave - Brown, Body: Short (Jade), Eyes: Hoodie, Eyewear: Open - Robot, Headwear: 3D Glasses, Outerwear: None
ArbiBird #6983: Background: Blue, Beak: Emperor - Green, Body: Small - Gray, Eyes: Bomber Jacket, Eyewear: Side-eye - Green, Headwear: Half-moon Spectacles, Outerwear: Lincoln
ArbiBird #6984: Background: Blue, Beak: Sage - Red, Body: Small - Orange, Eyes: Gold Chain, Eyewear: Closed (Enlightened), Headwear: 3D Glasses, Outerwear: Aviator's Cap
ArbiBird #6985: Background: Blue, Beak: Guardian - White, Body: Small (Enlightened), Eyes: Hoodie Down, Eyewear: Angry - Ruby, Headwear: Gazelles, Outerwear: Fire
ArbiBird #6986: Background: Blue, Beak: Tabby - Gray, Body: Long - Skeleton, Eyes: Hoodie Down, Eyewear: Relaxed (Jade), Headwear: Aviators, Outerwear: Diamond (Jade)
ArbiBird #6987: Background: Blue, Beak: Crescent - Gray, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Discerning - Gray, Headwear: Visor (Jade), Outerwear: Moon Hat
ArbiBird #6988: Background: Blue, Beak: Tabby - Black, Body: Small - Orange, Eyes: None, Eyewear: Open - Rainbow, Headwear: None, Outerwear: Parliament Mask (Jade)
ArbiBird #6989: Background: Blue, Beak: Sage - Black, Body: Small (Enlightened), Eyes: Gold Chain, Eyewear: Discerning - Gray, Headwear: Eyepatch, Outerwear: Queen's Crown
ArbiBird #6990: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Golden, Eyes: Hoodie Down, Eyewear: Side-eye - Gray, Headwear: Sunglasses, Outerwear: Mohawk (Jade)
ArbiBird #6991: Background: Blue, Beak: Professor - White, Body: Short - Skeleton, Eyes: Bomber Jacket, Eyewear: Discerning - White, Headwear: Half-moon Spectacles, Outerwear: Diamond
ArbiBird #6992: Background: Blue, Beak: Guardian - Brown, Body: Long - Skeleton, Eyes: Punk Jacket, Eyewear: Relaxed (Enlightened), Headwear: Visor (Jade), Outerwear: Moon Hat
ArbiBird #6993: Background: Blue, Beak: Guardian - Pink, Body: Small - Skeleton, Eyes: Diamond Necklace, Eyewear: Side-eye - Yellow, Headwear: Half-moon Spectacles, Outerwear: Bandana
ArbiBird #6994: Background: Blue, Beak: Jade - Legendary Crescent, Body: Short - Golden, Eyes: Diamond Necklace, Eyewear: Open - Robot, Headwear: Gazelles, Outerwear: Grail
ArbiBird #6995: Background: Blue, Beak: Brave - Blue, Body: Short - Skeleton, Eyes: Hero's Tunic, Eyewear: Open - Adorable, Headwear: Big Tech, Outerwear: Diamond
ArbiBird #6996: Background: Blue, Beak: Sage - Brown, Body: Short - Ruby, Eyes: Punk Jacket, Eyewear: Open - Moon, Headwear: Black-rimmed Glasses, Outerwear: Rubber Duck
ArbiBird #6997: Background: Blue, Beak: Tranquil - Pink, Body: Small (Jade), Eyes: Jean Jacket, Eyewear: Open (Cosmic), Headwear: 3D Glasses, Outerwear: Lincoln
ArbiBird #6998: Background: Blue, Beak: Cosmic - Legendary Sage, Body: Short - Ruby, Eyes: Punk Jacket, Eyewear: Discerning - Green, Headwear: Sunglasses, Outerwear: Diamond (Jade)
ArbiBird #6999: Background: Blue, Beak: Jade - Legendary Professor, Body: Small - Orange, Eyes: Hero's Tunic, Eyewear: Angry - Skeleton, Headwear: Sunglasses, Outerwear: Mohawk (Green)
ArbiBird #7000: Background: Blue, Beak: Tabby - Red, Body: Short - Ruby, Eyes: Bomber Jacket, Eyewear: Open - Red, Headwear: Black-rimmed Glasses, Outerwear: Headband
ArbiBird #7001: Background: Blue, Beak: Golden - Legendary Professor, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Open - Adorable, Headwear: Sunglasses, Outerwear: Bandana
ArbiBird #7002: Background: Blue, Beak: Crescent - Gray, Body: Short - Gray, Eyes: Hoodie Down, Eyewear: Glitch 3, Headwear: Jobs Glasses, Outerwear: Diamond (Jade)
ArbiBird #7003: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Long - Gray, Eyes: Hoodie Down, Eyewear: Angry - Red, Headwear: Gazelles, Outerwear: Bandana
ArbiBird #7004: Background: Blue, Beak: Tranquil - Green, Body: Small (Jade), Eyes: Bomber Jacket, Eyewear: Diamond - Epic, Headwear: None, Outerwear: Tiny Crown (Jade)
ArbiBird #7005: Background: Blue, Beak: Stark - Black, Body: Long - Ruby, Eyes: Jean Jacket, Eyewear: Open - Blue, Headwear: Sunglasses, Outerwear: Halo (Jade)
ArbiBird #7006: Background: Blue, Beak: Tranquil - Green, Body: Long - Gray, Eyes: None, Eyewear: Relaxed - Yellow, Headwear: Jobs Glasses, Outerwear: Flower
ArbiBird #7007: Background: Blue, Beak: Professor - Pink, Body: Short (Jade), Eyes: None, Eyewear: Closed (Enlightened), Headwear: Visor (Jade), Outerwear: Cowboy Hat
ArbiBird #7008: Background: Blue, Beak: Guardian - White, Body: Short - Golden, Eyes: Hoodie Down, Eyewear: Side-eye - Purple, Headwear: Eyepatch, Outerwear: Flower
ArbiBird #7009: Background: Blue, Beak: Brave - White, Body: Short (Jade), Eyes: Hoodie Down, Eyewear: Glitch 2, Headwear: Black-rimmed Glasses, Outerwear: Cowboy Hat
ArbiBird #7010: Background: Blue, Beak: Golden - Legendary Crescent, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Open - Red, Headwear: Eyepatch, Outerwear: Grail
ArbiBird #7011: Background: Blue, Beak: Professor - Red, Body: Short (Jade), Eyes: None, Eyewear: Angry - Green, Headwear: Sunglasses, Outerwear: Beanie
ArbiBird #7012: Background: Blue, Beak: Brave - Purple, Body: Small - Ruby, Eyes: Gold Chain, Eyewear: Discerning - Golden, Headwear: Gazelles, Outerwear: Pirate's Hat
ArbiBird #7013: Background: Blue, Beak: Sage - Red, Body: Short (Jade), Eyes: Hoodie, Eyewear: Glitch 1, Headwear: Aviators, Outerwear: Witch's Hat
ArbiBird #7014: Background: Blue, Beak: Sage - White, Body: Small - Orange, Eyes: Hoodie Down, Eyewear: Angry - Ruby, Headwear: Gazelles, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #7015: Background: Blue, Beak: Tranquil - Pink, Body: Long - Gray, Eyes: Bomber Jacket, Eyewear: Open - Skeleton, Headwear: Visor, Outerwear: Diamond (Jade)
ArbiBird #7016: Background: Blue, Beak: Golden - Legendary Professor, Body: Small - Golden, Eyes: Hoodie Down, Eyewear: Open - White, Headwear: Monocle, Outerwear: Pirate's Hat
ArbiBird #7017: Background: Blue, Beak: Stark - Brown, Body: Long - Gray, Eyes: Hoodie, Eyewear: Open - Enchanted, Headwear: None, Outerwear: Raincloud
ArbiBird #7018: Background: Blue, Beak: Glitch - Legendary Sage, Body: Long - Ruby, Eyes: Punk Jacket, Eyewear: Relaxed - Golden, Headwear: Aviators, Outerwear: Durag
ArbiBird #7019: Background: Blue, Beak: Stark - Black, Body: Short - Ruby, Eyes: Jean Jacket, Eyewear: Open - Blue, Headwear: Monocle (Jade), Outerwear: Bandana
ArbiBird #7020: Background: Blue, Beak: Professor - Black, Body: Long - Skeleton, Eyes: Jean Jacket, Eyewear: Angry - Ruby, Headwear: Gazelles, Outerwear: Tiny Crown
ArbiBird #7021: Background: Blue, Beak: Tabby - Purple, Body: Long - Golden, Eyes: Punk Jacket, Eyewear: Side-eye - White, Headwear: Visor, Outerwear: Captain's Cap
ArbiBird #7022: Background: Blue, Beak: Emperor - Red, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Relaxed (Enlightened), Headwear: Jobs Glasses, Outerwear: Forest Ranger
ArbiBird #7023: Background: Blue, Beak: Emperor - Green, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Relaxed - Yellow, Headwear: Visor (Jade), Outerwear: Fire
ArbiBird #7024: Background: Blue, Beak: Cosmic - Legendary Emperor, Body: Small - Robot, Eyes: Hoodie, Eyewear: Relaxed - Blue, Headwear: Black-rimmed Glasses, Outerwear: Fire
ArbiBird #7025: Background: Blue, Beak: Professor - Purple, Body: Short - Golden, Eyes: Gold Chain, Eyewear: Side-eye - Green, Headwear: 3D Glasses, Outerwear: Halo
ArbiBird #7026: Background: Blue, Beak: Stark - Gray, Body: Long - Ruby, Eyes: None, Eyewear: Open - Adorable, Headwear: Big Tech, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #7027: Background: Blue, Beak: Glitch - Legendary Brave, Body: Small - Ruby, Eyes: Diamond Necklace, Eyewear: Glitch 5, Headwear: Visor (Jade), Outerwear: Tiny Crown
ArbiBird #7028: Background: Blue, Beak: Ruby Skeleton - Legendary Bone, Body: Short - Golden, Eyes: None, Eyewear: Discerning - White, Headwear: Sunglasses, Outerwear: Mohawk (Pink)
ArbiBird #7029: Background: Blue, Beak: Tranquil - Pink, Body: Long - Robot, Eyes: Hoodie, Eyewear: Relaxed - Blue, Headwear: Aviators, Outerwear: Karate Band
ArbiBird #7030: Background: Blue, Beak: Crescent - Black, Body: Long - Golden, Eyes: Bomber Jacket, Eyewear: Discerning - Yellow, Headwear: Eyepatch, Outerwear: Tiny Crown (Enlightened)
ArbiBird #7031: Background: Blue, Beak: Guardian - Green, Body: Short - Skeleton, Eyes: Diamond Necklace, Eyewear: Relaxed - Ruby, Headwear: Sunglasses, Outerwear: Witch's Hat
ArbiBird #7032: Background: Blue, Beak: Enlightened - Legendary Sage, Body: Short - Robot, Eyes: Hero's Tunic, Eyewear: Open - Purple, Headwear: Jobs Glasses, Outerwear: Captain's Cap
ArbiBird #7033: Background: Blue, Beak: Professor - Black, Body: Long - Orange, Eyes: Gold Chain, Eyewear: Open - Fire, Headwear: Monocle (Jade), Outerwear: Queen's Crown
ArbiBird #7034: Background: Blue, Beak: Guardian - Blue, Body: Short - Gray, Eyes: Diamond Necklace, Eyewear: Moon - Epic, Headwear: Black-rimmed Glasses, Outerwear: Dancing Flame
ArbiBird #7035: Background: Blue, Beak: Guardian - Red, Body: Short - Orange, Eyes: Jean Jacket, Eyewear: Relaxed - Ruby, Headwear: Visor (Jade), Outerwear: Flower
ArbiBird #7036: Background: Blue, Beak: Jade - Legendary Professor, Body: Short - Golden, Eyes: Gold Chain, Eyewear: Open - Red, Headwear: Sunglasses, Outerwear: Backwards Hat
ArbiBird #7037: Background: Blue, Beak: Brave - Black, Body: Short - Skeleton, Eyes: Hoodie Down, Eyewear: Side-eye - Purple, Headwear: None, Outerwear: Headphones
ArbiBird #7038: Background: Blue, Beak: Brave - Brown, Body: Small - Robot, Eyes: Hoodie, Eyewear: Side-eye - Yellow, Headwear: None, Outerwear: Crescent Talisman (Jade)
ArbiBird #7039: Background: Blue, Beak: Crescent - Gray, Body: Small - Orange, Eyes: None, Eyewear: Open - Moon, Headwear: 3D Glasses, Outerwear: Beanie
ArbiBird #7040: Background: Blue, Beak: Brave - Blue, Body: Long - Skeleton, Eyes: Hoodie Down, Eyewear: Open - Golden, Headwear: Monocle (Jade), Outerwear: Halo (Enlightened Variant)
ArbiBird #7041: Background: Blue, Beak: Glitch - Legendary Crescent, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Relaxed - Golden, Headwear: Visor, Outerwear: Diamond
ArbiBird #7042: Background: Blue, Beak: Tabby - Red, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Open - Blue, Headwear: Visor (Jade), Outerwear: Lincoln
ArbiBird #7043: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Small (Enlightened), Eyes: Bomber Jacket, Eyewear: Discerning - Gray, Headwear: Visor, Outerwear: Halo (Jade)
ArbiBird #7044: Background: Blue, Beak: Emperor - Blue, Body: Small - Robot, Eyes: Hoodie, Eyewear: Relaxed - White, Headwear: Monocle (Jade), Outerwear: Raincloud
ArbiBird #7045: Background: Blue, Beak: Stark - Gray, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Open - Blue, Headwear: Visor (Jade), Outerwear: Diamond
ArbiBird #7046: Background: Blue, Beak: Emperor - Gray, Body: Long - Skeleton, Eyes: Hero's Tunic, Eyewear: Angry - Gray, Headwear: Gazelles, Outerwear: Cowboy Hat
ArbiBird #7047: Background: Blue, Beak: Professor - Brown, Body: Small - Orange, Eyes: Hero's Tunic, Eyewear: Glitch 2, Headwear: Sunglasses, Outerwear: Bow
ArbiBird #7048: Background: Blue, Beak: Guardian - Red, Body: Small (Jade), Eyes: Hoodie, Eyewear: Side-eye - Green, Headwear: Jobs Glasses, Outerwear: Karate Band
ArbiBird #7049: Background: Blue, Beak: Jade - Legendary Brave, Body: Short - Ruby, Eyes: Hoodie, Eyewear: Side-eye - White, Headwear: Jobs Glasses, Outerwear: Halo (Jade)
ArbiBird #7050: Background: Blue, Beak: Sage - Gray, Body: Small (Jade), Eyes: Hoodie, Eyewear: Open - Golden, Headwear: Visor, Outerwear: Parliament Mask (Jade)
ArbiBird #7051: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Short - Skeleton, Eyes: None, Eyewear: Open - Green, Headwear: Gazelles, Outerwear: Aviator's Cap
ArbiBird #7052: Background: Blue, Beak: Skeleton - Bone, Body: Small - Robot, Eyes: Jean Jacket, Eyewear: Open - Enchanted, Headwear: Gazelles, Outerwear: Halo (Jade)
ArbiBird #7053: Background: Blue, Beak: Glitch - Legendary Brave, Body: Short - Robot, Eyes: Punk Jacket, Eyewear: Open - Green, Headwear: Big Tech, Outerwear: Bucket Hat
ArbiBird #7054: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Small (Cosmic), Eyes: Punk Jacket, Eyewear: Open - Rainbow, Headwear: Aviators, Outerwear: Aviator's Cap
ArbiBird #7055: Background: Blue, Beak: Cosmic - Legendary Sage, Body: Small (Enlightened), Eyes: Bomber Jacket, Eyewear: Discerning - Golden, Headwear: Gazelles, Outerwear: Bucket Hat
ArbiBird #7056: Background: Blue, Beak: Stark - Black, Body: Small - Robot, Eyes: Gold Chain, Eyewear: Relaxed - White, Headwear: Sunglasses, Outerwear: Tiara
ArbiBird #7057: Background: Blue, Beak: Stark - White, Body: Short (Jade), Eyes: Hoodie Down, Eyewear: Rainbow - Epic, Headwear: Jobs Glasses, Outerwear: Cowboy Hat
ArbiBird #7058: Background: Blue, Beak: Tranquil - Gray, Body: Long - Orange, Eyes: Bomber Jacket, Eyewear: Glitch 2, Headwear: Aviators, Outerwear: Bow
ArbiBird #7059: Background: Blue, Beak: Professor - Red, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Angry - Blue, Headwear: Black-rimmed Glasses, Outerwear: Wizard's Hat (Jade)
ArbiBird #7060: Background: Blue, Beak: Stark - Blue, Body: Small - Ruby, Eyes: Punk Jacket, Eyewear: Side-eye - Blue, Headwear: Eyepatch, Outerwear: Skully
ArbiBird #7061: Background: Blue, Beak: Brave - Brown, Body: Short - Gray, Eyes: Hoodie Down, Eyewear: Open - Rainbow, Headwear: None, Outerwear: Tiara
ArbiBird #7062: Background: Blue, Beak: Tranquil - Blue, Body: Small - Skeleton, Eyes: Bomber Jacket, Eyewear: Discerning - Purple, Headwear: Aviators, Outerwear: Mohawk (Jade)
ArbiBird #7063: Background: Blue, Beak: Enlightened - Legendary Emperor, Body: Long - Orange, Eyes: Jean Jacket, Eyewear: Relaxed - Gray, Headwear: Visor (Jade), Outerwear: Unicorn Horn (Jade)
ArbiBird #7064: Background: Blue, Beak: Crescent - Purple, Body: Short - Robot, Eyes: None, Eyewear: Open - Enchanted, Headwear: Eyepatch, Outerwear: Karate Band
ArbiBird #7065: Background: Blue, Beak: Emperor - Brown, Body: Long - Robot, Eyes: Gold Chain, Eyewear: Open - Blue, Headwear: None, Outerwear: Diamond (Jade)
