ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #8757: Background: Blue, Body: Professor - Purple, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Relaxed - Green, Eyewear: Big Tech, Headwear: None
ArbiBird #8758: Background: Blue, Body: Brave - Black, Beak: Long - Ruby, Outerwear: Hoodie, Eyes: Angry - Robot, Eyewear: Monocle, Headwear: Queen's Crown
ArbiBird #8759: Background: Blue, Body: Tranquil - Red, Beak: Long - Golden, Outerwear: Jean Jacket, Eyes: Relaxed - Green, Eyewear: Visor, Headwear: None
ArbiBird #8760: Background: Blue, Body: Tranquil - White, Beak: Short - Skeleton, Outerwear: None, Eyes: Glitch 6, Eyewear: Black-rimmed Glasses, Headwear: Unicorn Horn (Jade)
ArbiBird #8761: Background: Blue, Body: Guardian - Red, Beak: Short - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed - Purple, Eyewear: Monocle (Jade), Headwear: Chromie
ArbiBird #8762: Background: Blue, Body: Emperor - Blue, Beak: Short - Orange, Outerwear: Hoodie Down, Eyes: Open (Jade), Eyewear: Aviators, Headwear: Bow
ArbiBird #8763: Background: Blue, Body: Cosmic - Legendary Emperor, Beak: Long - Golden, Outerwear: Bomber Jacket, Eyes: Discerning - White, Eyewear: Aviators, Headwear: Space Helmet
ArbiBird #8764: Background: Blue, Body: Professor - Pink, Beak: Long - Skeleton, Outerwear: None, Eyes: Open - Adorable, Eyewear: Big Tech, Headwear: Tiny Crown (Enlightened)
ArbiBird #8765: Background: Blue, Body: Tranquil - Red, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Relaxed - White, Eyewear: Monocle (Jade), Headwear: Tiny Crown (Jade)
ArbiBird #8766: Background: Blue, Body: Guardian - Purple, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Relaxed - Golden, Eyewear: Half-moon Spectacles, Headwear: Wizard's Hat
ArbiBird #8767: Background: Blue, Body: Golden - Legendary Emperor, Beak: Long - Ruby, Outerwear: None, Eyes: Open - Skeleton, Eyewear: Sunglasses, Headwear: Captain's Cap
ArbiBird #8768: Background: Blue, Body: Tranquil - Green, Beak: Small - Skeleton, Outerwear: Hero's Tunic, Eyes: Side-eye - Blue, Eyewear: Visor (Jade), Headwear: Karate Band
ArbiBird #8769: Background: Blue, Body: Emperor - White, Beak: Small - Skeleton, Outerwear: None, Eyes: Side-eye - Blue, Eyewear: Visor, Headwear: Pirate's Hat
ArbiBird #8770: Background: Blue, Body: Professor - White, Beak: Short - Skeleton, Outerwear: None, Eyes: Discerning - Green, Eyewear: 3D Glasses, Headwear: Halo
ArbiBird #8771: Background: Blue, Body: Brave - Green, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Open - Robot, Eyewear: Gazelles, Headwear: Rubber Duck
ArbiBird #8772: Background: Blue, Body: Sage - Black, Beak: Long - Skeleton, Outerwear: None, Eyes: Discerning - White, Eyewear: Visor, Headwear: Mohawk (Green)
ArbiBird #8773: Background: Blue, Body: Golden - Legendary Crescent, Beak: Long - Ruby, Outerwear: None, Eyes: Glitch 6, Eyewear: Visor (Jade), Headwear: Beanie
ArbiBird #8774: Background: Blue, Body: Tranquil - Green, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Open - Yellow, Eyewear: Gazelles, Headwear: Durag
ArbiBird #8775: Background: Blue, Body: Sage - Black, Beak: Short (Jade), Outerwear: Diamond Necklace, Eyes: Discerning - Purple, Eyewear: Visor, Headwear: Dancing Flame (Jade)
ArbiBird #8776: Background: Blue, Body: Tabby - Gray, Beak: Small (Enlightened), Outerwear: Punk Jacket, Eyes: Open (Cosmic), Eyewear: Gazelles, Headwear: Dancing Flame
ArbiBird #8777: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Small (Enlightened), Outerwear: None, Eyes: Angry - Skeleton, Eyewear: Eyepatch, Headwear: Tiny Crown
ArbiBird #8778: Background: Blue, Body: Crescent - Purple, Beak: Small - Golden, Outerwear: Diamond Necklace, Eyes: Angry - Green, Eyewear: None, Headwear: Tiny Crown (Jade)
ArbiBird #8779: Background: Blue, Body: Stark - Red, Beak: Short - Gray, Outerwear: Hoodie, Eyes: Relaxed - Skeleton, Eyewear: Eyepatch, Headwear: Tiny Crown
ArbiBird #8780: Background: Blue, Body: Jade - Legendary Crescent, Beak: Short - Skeleton, Outerwear: Jean Jacket, Eyes: Angry - Robot, Eyewear: Aviators, Headwear: Bow
ArbiBird #8781: Background: Blue, Body: Cosmic - Legendary Sage, Beak: Short (Jade), Outerwear: Bomber Jacket, Eyes: Discerning - Yellow, Eyewear: Eyepatch, Headwear: Halo (Enlightened Variant)
ArbiBird #8782: Background: Blue, Body: Cosmic - Legendary Brave, Beak: Short - Ruby, Outerwear: None, Eyes: Angry - Gray, Eyewear: Visor (Jade), Headwear: Queen's Crown
ArbiBird #8783: Background: Blue, Body: Emperor - Green, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Relaxed - Green, Eyewear: Sunglasses, Headwear: Bucket Hat
ArbiBird #8784: Background: Blue, Body: Tranquil - Red, Beak: Short - Skeleton, Outerwear: Punk Jacket, Eyes: Discerning - Golden, Eyewear: Visor, Headwear: Mohawk (Pink)
ArbiBird #8785: Background: Blue, Body: Tranquil - Gray, Beak: Long - Gray, Outerwear: Bomber Jacket, Eyes: Glitch 4, Eyewear: Rose-Colored Glasses, Headwear: Gremplin
ArbiBird #8786: Background: Blue, Body: Sage - Black, Beak: Long - Robot, Outerwear: Bomber Jacket, Eyes: Open - Blue, Eyewear: None, Headwear: Lincoln
ArbiBird #8787: Background: Blue, Body: Sage - Purple, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Glitch 6, Eyewear: 3D Glasses, Headwear: Lincoln
ArbiBird #8788: Background: Blue, Body: Guardian - Green, Beak: Short - Skeleton, Outerwear: Bomber Jacket, Eyes: Open - Red, Eyewear: None, Headwear: Dancing Flame (Jade)
ArbiBird #8789: Background: Blue, Body: Tranquil - Red, Beak: Long - Orange, Outerwear: Hoodie, Eyes: Angry - Ruby, Eyewear: Monocle (Jade), Headwear: Dancing Flame (Jade)
ArbiBird #8790: Background: Blue, Body: Tabby - Black, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Relaxed - Ruby, Eyewear: Half-moon Spectacles, Headwear: Backwards Hat
ArbiBird #8791: Background: Blue, Body: Emperor - Blue, Beak: Short - Gray, Outerwear: Jean Jacket, Eyes: Angry - Green, Eyewear: Big Tech, Headwear: Wizard's Hat
ArbiBird #8792: Background: Blue, Body: Sage - Pink, Beak: Long - Robot, Outerwear: Punk Jacket, Eyes: Open (Enlightened), Eyewear: Gazelles, Headwear: Bandana
ArbiBird #8793: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Long - Skeleton, Outerwear: None, Eyes: Side-eye - Red, Eyewear: Visor, Headwear: Gremplin
ArbiBird #8794: Background: Blue, Body: Tabby - Gray, Beak: Long - Orange, Outerwear: None, Eyes: Side-eye - White, Eyewear: Visor (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #8795: Background: Blue, Body: Tabby - White, Beak: Small - Gray, Outerwear: Diamond Necklace, Eyes: Rainbow - Epic, Eyewear: Monocle (Jade), Headwear: Skully
ArbiBird #8796: Background: Blue, Body: Golden - Legendary Professor, Beak: Short - Skeleton, Outerwear: Bomber Jacket, Eyes: Open (Jade), Eyewear: Sunglasses, Headwear: Durag
ArbiBird #8797: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Rainbow - Epic, Eyewear: Visor, Headwear: Tiny Crown (Jade)
ArbiBird #8798: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Relaxed - Ruby, Eyewear: Black-rimmed Glasses, Headwear: Hero's Cap
ArbiBird #8799: Background: Blue, Body: Emperor - Blue, Beak: Small - Gray, Outerwear: Punk Jacket, Eyes: Rainbow - Epic, Eyewear: Sunglasses, Headwear: Captain's Cap
ArbiBird #8800: Background: Blue, Body: Tranquil - Black, Beak: Short - Gray, Outerwear: None, Eyes: Open - Purple, Eyewear: Aviators, Headwear: Aviator's Cap
ArbiBird #8801: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Long - Golden, Outerwear: Hoodie Down, Eyes: Open - Yellow, Eyewear: Aviators, Headwear: Wizard's Hat (Jade)
ArbiBird #8802: Background: Blue, Body: Stark - Blue, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Side-eye - Yellow, Eyewear: Rose-Colored Glasses, Headwear: Diamond (Jade)
ArbiBird #8803: Background: Blue, Body: Tabby - Blue, Beak: Short - Skeleton, Outerwear: Hoodie Down, Eyes: Relaxed - Green, Eyewear: Visor (Jade), Headwear: Forest Ranger
ArbiBird #8804: Background: Blue, Body: Tabby - White, Beak: Small (Jade), Outerwear: Gold Chain, Eyes: Relaxed - White, Eyewear: Aviators, Headwear: Halo
ArbiBird #8805: Background: Blue, Body: Sage - Pink, Beak: Long - Ruby, Outerwear: Gold Chain, Eyes: Open - Yellow, Eyewear: Visor (Jade), Headwear: Flower
ArbiBird #8806: Background: Blue, Body: Crescent - Pink, Beak: Long - Ruby, Outerwear: Hoodie Down, Eyes: Relaxed - Golden, Eyewear: Half-moon Spectacles, Headwear: Skully (Jade)
ArbiBird #8807: Background: Blue, Body: Sage - Blue, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Open - Diamond, Eyewear: Half-moon Spectacles, Headwear: Diamond (Jade)
ArbiBird #8808: Background: Blue, Body: Sage - Green, Beak: Short - Golden, Outerwear: Hero's Tunic, Eyes: Side-eye - Green, Eyewear: Sunglasses, Headwear: Durag
ArbiBird #8809: Background: Blue, Body: Tranquil - White, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Relaxed - White, Eyewear: Black-rimmed Glasses, Headwear: Tiny Crown (Jade)
ArbiBird #8810: Background: Blue, Body: Golden - Legendary Sage, Beak: Small (Jade), Outerwear: Hoodie Down, Eyes: Relaxed - Skeleton, Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #8811: Background: Blue, Body: Tabby - Black, Beak: Long - Gray, Outerwear: Diamond Necklace, Eyes: Angry - Robot, Eyewear: Big Tech, Headwear: Crescent Talisman
ArbiBird #8812: Background: Blue, Body: Tranquil - Purple, Beak: Long - Ruby, Outerwear: None, Eyes: Discerning - Gray, Eyewear: Black-rimmed Glasses, Headwear: Raincloud
ArbiBird #8813: Background: Blue, Body: Crescent - Pink, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Open - Purple, Eyewear: Gazelles, Headwear: Dancing Flame (Jade)
ArbiBird #8814: Background: Blue, Body: Tabby - Purple, Beak: Small - Robot, Outerwear: Gold Chain, Eyes: Angry - Red, Eyewear: None, Headwear: Karate Band
ArbiBird #8815: Background: Blue, Body: Stark - Red, Beak: Small - Ruby, Outerwear: Hoodie, Eyes: Open - Ruby, Eyewear: Aviators, Headwear: Skully
ArbiBird #8816: Background: Blue, Body: Stark - Brown, Beak: Short - Orange, Outerwear: Gold Chain, Eyes: Relaxed - Green, Eyewear: Visor, Headwear: Wizard's Hat
ArbiBird #8817: Background: Blue, Body: Emperor - Blue, Beak: Long - Golden, Outerwear: Hero's Tunic, Eyes: Relaxed - Gray, Eyewear: Visor (Jade), Headwear: Diamond
ArbiBird #8818: Background: Blue, Body: Guardian - Gray, Beak: Long - Gray, Outerwear: Gold Chain, Eyes: Discerning - White, Eyewear: Black-rimmed Glasses, Headwear: Queen's Crown
ArbiBird #8819: Background: Blue, Body: Tranquil - Red, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Relaxed - Red, Eyewear: Half-moon Spectacles, Headwear: Tiny Crown (Jade)
ArbiBird #8820: Background: Blue, Body: Tranquil - White, Beak: Long - Gray, Outerwear: Diamond Necklace, Eyes: Angry - Blue, Eyewear: Black-rimmed Glasses, Headwear: Diamond
ArbiBird #8821: Background: Blue, Body: Stark - Red, Beak: Long - Skeleton, Outerwear: Jean Jacket, Eyes: Open (Enlightened), Eyewear: 3D Glasses, Headwear: Raincloud
ArbiBird #8822: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed - Ruby, Eyewear: Gazelles, Headwear: Tiara
ArbiBird #8823: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Long - Golden, Outerwear: Hero's Tunic, Eyes: Glitch 2, Eyewear: Jobs Glasses, Headwear: Cowboy Hat
ArbiBird #8824: Background: Blue, Body: Enlightened - Legendary Sage, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Relaxed - Yellow, Eyewear: Gazelles, Headwear: Skully (Jade)
ArbiBird #8825: Background: Blue, Body: Guardian - Pink, Beak: Short - Golden, Outerwear: Bomber Jacket, Eyes: Angry - Yellow, Eyewear: 3D Glasses, Headwear: Wizard's Hat (Jade)
ArbiBird #8826: Background: Blue, Body: Brave - White, Beak: Short (Jade), Outerwear: Jean Jacket, Eyes: Fire - Ruby, Eyewear: None, Headwear: Skully (Jade)
ArbiBird #8827: Background: Blue, Body: Professor - Blue, Beak: Small (Enlightened), Outerwear: Punk Jacket, Eyes: Side-eye - Yellow, Eyewear: Half-moon Spectacles, Headwear: Lincoln
ArbiBird #8828: Background: Blue, Body: Tranquil - Black, Beak: Long - Ruby, Outerwear: Punk Jacket, Eyes: Relaxed - Gray, Eyewear: Jobs Glasses, Headwear: Fire
ArbiBird #8829: Background: Blue, Body: Jade - Legendary Emperor, Beak: Short - Ruby, Outerwear: None, Eyes: Relaxed - Yellow, Eyewear: Eyepatch, Headwear: Mohawk (Pink)
ArbiBird #8830: Background: Blue, Body: Professor - White, Beak: Long - Robot, Outerwear: Gold Chain, Eyes: Angry - Purple, Eyewear: None, Headwear: None
ArbiBird #8831: Background: Blue, Body: Stark - Brown, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Side-eye - Golden, Eyewear: Big Tech, Headwear: Mohawk (Pink)
ArbiBird #8832: Background: Blue, Body: Professor - Purple, Beak: Long - Gray, Outerwear: Punk Jacket, Eyes: Open - Skeleton, Eyewear: Gazelles, Headwear: Pirate's Hat
ArbiBird #8833: Background: Blue, Body: Jade - Legendary Guardian, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Relaxed - Red, Eyewear: Eyepatch, Headwear: Space Helmet
ArbiBird #8834: Background: Blue, Body: Skeleton - Bone, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Relaxed - White, Eyewear: Jobs Glasses, Headwear: Mohawk (Pink)
ArbiBird #8835: Background: Blue, Body: Tranquil - Black, Beak: Small - Ruby, Outerwear: Hero's Tunic, Eyes: Angry - Blue, Eyewear: Visor (Jade), Headwear: Mohawk (Green)
ArbiBird #8836: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Short - Golden, Outerwear: None, Eyes: Open - Robot, Eyewear: Visor, Headwear: Crescent Talisman (Jade)
ArbiBird #8837: Background: Blue, Body: Tabby - Green, Beak: Small - Golden, Outerwear: Punk Jacket, Eyes: Angry - Ruby, Eyewear: Monocle, Headwear: Tiara
ArbiBird #8838: Background: Blue, Body: Cosmic - Legendary Sage, Beak: Long - Ruby, Outerwear: None, Eyes: Open (Cosmic), Eyewear: Jobs Glasses, Headwear: Halo
ArbiBird #8839: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Short (Jade), Outerwear: Hoodie Down, Eyes: Angry - Ruby, Eyewear: Sunglasses, Headwear: Witch's Hat
ArbiBird #8840: Background: Blue, Body: Emperor - Purple, Beak: Long - Gray, Outerwear: Hoodie Down, Eyes: Closed (Enlightened), Eyewear: Jobs Glasses, Headwear: Dancing Flame
ArbiBird #8841: Background: Blue, Body: Stark - Red, Beak: Short - Ruby, Outerwear: Punk Jacket, Eyes: Relaxed - White, Eyewear: Jobs Glasses, Headwear: Bucket Hat
ArbiBird #8842: Background: Blue, Body: Professor - Blue, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Discerning - Green, Eyewear: 3D Glasses, Headwear: Chromie
ArbiBird #8843: Background: Blue, Body: Professor - White, Beak: Small - Orange, Outerwear: Punk Jacket, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Chromie
ArbiBird #8844: Background: Blue, Body: Jade - Legendary Guardian, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Angry - Blue, Eyewear: Black-rimmed Glasses, Headwear: Dancing Flame (Jade)
ArbiBird #8845: Background: Blue, Body: Guardian - Green, Beak: Long - Robot, Outerwear: Hoodie, Eyes: Relaxed (Jade), Eyewear: Rose-Colored Glasses, Headwear: Diamond (Jade)
ArbiBird #8846: Background: Blue, Body: Sage - Pink, Beak: Long - Golden, Outerwear: Punk Jacket, Eyes: Angry - Gray, Eyewear: Sunglasses, Headwear: Halo
ArbiBird #8847: Background: Blue, Body: Tranquil - Purple, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Open - Gray, Eyewear: Monocle, Headwear: Karate Band
ArbiBird #8848: Background: Blue, Body: Stark - Blue, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Side-eye - Golden, Eyewear: Rose-Colored Glasses, Headwear: Pirate's Hat
ArbiBird #8849: Background: Blue, Body: Brave - Blue, Beak: Small (Cosmic), Outerwear: Hero's Tunic, Eyes: Rainbow - Epic, Eyewear: Gazelles, Headwear: Wizard's Hat (Jade)
ArbiBird #8850: Background: Blue, Body: Emperor - Blue, Beak: Small - Gray, Outerwear: Bomber Jacket, Eyes: Discerning - Green, Eyewear: Eyepatch, Headwear: Tiara
ArbiBird #8851: Background: Blue, Body: Professor - Red, Beak: Small (Enlightened), Outerwear: Hoodie Down, Eyes: Glitch 1, Eyewear: Visor, Headwear: Crescent Talisman (Jade)
ArbiBird #8852: Background: Blue, Body: Sage - Red, Beak: Short - Orange, Outerwear: Punk Jacket, Eyes: Relaxed (Enlightened), Eyewear: Half-moon Spectacles, Headwear: Bandana
ArbiBird #8853: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short - Ruby, Outerwear: Bomber Jacket, Eyes: Side-eye - Purple, Eyewear: Monocle (Jade), Headwear: Unicorn Horn (Jade)
ArbiBird #8854: Background: Blue, Body: Stark - Red, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Angry - Robot, Eyewear: None, Headwear: Durag
ArbiBird #8855: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Long - Orange, Outerwear: None, Eyes: Open (Enlightened), Eyewear: Gazelles, Headwear: Parliament Mask (Jade)
ArbiBird #8856: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Open - Robot, Eyewear: 3D Glasses, Headwear: Tiny Crown
ArbiBird #8857: Background: Blue, Body: Stark - Blue, Beak: Short (Jade), Outerwear: Punk Jacket, Eyes: Open - Rainbow, Eyewear: Black-rimmed Glasses, Headwear: Flower
ArbiBird #8858: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Side-eye - Green, Eyewear: Sunglasses, Headwear: Diamond (Jade)
ArbiBird #8859: Background: Blue, Body: Golden - Legendary Professor, Beak: Short (Jade), Outerwear: Punk Jacket, Eyes: Side-eye - Blue, Eyewear: Big Tech, Headwear: Backwards Hat
ArbiBird #8860: Background: Blue, Body: Emperor - Brown, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Fire - Ruby, Eyewear: Half-moon Spectacles, Headwear: Backwards Hat
ArbiBird #8861: Background: Blue, Body: Sage - Brown, Beak: Long - Skeleton, Outerwear: Punk Jacket, Eyes: Open - Rainbow, Eyewear: Rose-Colored Glasses, Headwear: Skully
ArbiBird #8862: Background: Blue, Body: Tranquil - Gray, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Relaxed (Jade), Eyewear: Monocle, Headwear: Moon Hat
ArbiBird #8863: Background: Blue, Body: Tranquil - Pink, Beak: Small (Cosmic), Outerwear: Punk Jacket, Eyes: Discerning - Golden, Eyewear: Visor (Jade), Headwear: Halo
ArbiBird #8864: Background: Blue, Body: Glitch - Legendary Sage, Beak: Long - Orange, Outerwear: Bomber Jacket, Eyes: Open - Moon, Eyewear: Visor, Headwear: Tiara
ArbiBird #8865: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Long - Orange, Outerwear: Jean Jacket, Eyes: Open - Purple, Eyewear: Rose-Colored Glasses, Headwear: Tiny Crown (Jade)
ArbiBird #8866: Background: Blue, Body: Stark - Red, Beak: Short - Skeleton, Outerwear: None, Eyes: Discerning - White, Eyewear: Big Tech, Headwear: Halo
ArbiBird #8867: Background: Blue, Body: Tabby - Gray, Beak: Small (Enlightened), Outerwear: None, Eyes: Side-eye - Green, Eyewear: Eyepatch, Headwear: Bucket Hat
ArbiBird #8868: Background: Blue, Body: Crescent - Purple, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Discerning - Skeleton, Eyewear: Visor (Jade), Headwear: Headphones
ArbiBird #8869: Background: Blue, Body: Sage - Brown, Beak: Small - Robot, Outerwear: None, Eyes: Side-eye - Green, Eyewear: Aviators, Headwear: Mohawk (Pink)
ArbiBird #8870: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small (Jade), Outerwear: Hero's Tunic, Eyes: Angry - White, Eyewear: 3D Glasses, Headwear: Bandana
ArbiBird #8871: Background: Blue, Body: Tranquil - Green, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Relaxed - Gray, Eyewear: None, Headwear: Gremplin
ArbiBird #8872: Background: Blue, Body: Brave - Blue, Beak: Short - Skeleton, Outerwear: Bomber Jacket, Eyes: Side-eye - Golden, Eyewear: Black-rimmed Glasses, Headwear: Skully
ArbiBird #8873: Background: Blue, Body: Brave - Pink, Beak: Long - Golden, Outerwear: Jean Jacket, Eyes: Angry - White, Eyewear: Big Tech, Headwear: Chromie
ArbiBird #8874: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Fire - Epic, Eyewear: 3D Glasses, Headwear: Moon Hat
ArbiBird #8875: Background: Blue, Body: Tabby - Blue, Beak: Long - Robot, Outerwear: Gold Chain, Eyes: Open - Blue, Eyewear: Monocle, Headwear: Durag
ArbiBird #8876: Background: Blue, Body: Sage - Brown, Beak: Small - Orange, Outerwear: Hoodie, Eyes: Glitch 2, Eyewear: Gazelles, Headwear: Lincoln
ArbiBird #8877: Background: Blue, Body: Sage - White, Beak: Long - Robot, Outerwear: Gold Chain, Eyes: Relaxed - Yellow, Eyewear: Visor, Headwear: Karate Band
ArbiBird #8878: Background: Blue, Body: Emperor - Green, Beak: Short - Golden, Outerwear: None, Eyes: Open - Skeleton, Eyewear: Black-rimmed Glasses, Headwear: Backwards Hat
ArbiBird #8879: Background: Blue, Body: Tabby - Green, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Side-eye - Green, Eyewear: Visor (Jade), Headwear: Raincloud
ArbiBird #8880: Background: Blue, Body: Crescent - White, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Side-eye - White, Eyewear: Visor (Jade), Headwear: Headband
ArbiBird #8881: Background: Blue, Body: Stark - Gray, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Open - Purple, Eyewear: Jobs Glasses, Headwear: Headband
ArbiBird #8882: Background: Blue, Body: Crescent - Gray, Beak: Small (Enlightened), Outerwear: None, Eyes: Fire - Epic, Eyewear: Half-moon Spectacles, Headwear: Backwards Hat
ArbiBird #8883: Background: Blue, Body: Guardian - White, Beak: Long - Robot, Outerwear: Punk Jacket, Eyes: Open - White, Eyewear: Sunglasses, Headwear: Durag
ArbiBird #8884: Background: Blue, Body: Brave - Gray, Beak: Short (Jade), Outerwear: Gold Chain, Eyes: Open (Cosmic), Eyewear: Visor, Headwear: Wizard's Hat (Jade)
ArbiBird #8885: Background: Blue, Body: Cosmic - Legendary Brave, Beak: Long - Orange, Outerwear: None, Eyes: Discerning - Skeleton, Eyewear: Eyepatch, Headwear: Karate Band
ArbiBird #8886: Background: Blue, Body: Jade - Legendary Emperor, Beak: Short (Jade), Outerwear: Bomber Jacket, Eyes: Moon - Epic, Eyewear: Monocle, Headwear: Unicorn Horn (Jade)
ArbiBird #8887: Background: Blue, Body: Brave - White, Beak: Short - Golden, Outerwear: Hero's Tunic, Eyes: Open - Enchanted, Eyewear: Monocle, Headwear: Tiny Crown
ArbiBird #8888: Background: Blue, Body: Tabby - Green, Beak: Small (Jade), Outerwear: Gold Chain, Eyes: Discerning - Golden, Eyewear: None, Headwear: Mohawk (Pink)
ArbiBird #8889: Background: Blue, Body: Tabby - White, Beak: Small - Golden, Outerwear: Bomber Jacket, Eyes: Angry - Golden, Eyewear: Monocle (Jade), Headwear: Lincoln
ArbiBird #8890: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Small - Ruby, Outerwear: Gold Chain, Eyes: Fire - Ruby, Eyewear: Jobs Glasses, Headwear: Moon Hat
ArbiBird #8891: Background: Blue, Body: Emperor - Red, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Angry - Purple, Eyewear: Black-rimmed Glasses, Headwear: Skully (Jade)
ArbiBird #8892: Background: Blue, Body: Tranquil - Green, Beak: Small (Jade), Outerwear: Bomber Jacket, Eyes: Relaxed (Enlightened), Eyewear: Monocle, Headwear: Queen's Crown
ArbiBird #8893: Background: Blue, Body: Sage - Gray, Beak: Long - Skeleton, Outerwear: Hoodie Down, Eyes: Fire - Ruby, Eyewear: Half-moon Spectacles, Headwear: Witch's Hat
ArbiBird #8894: Background: Blue, Body: Professor - Gray, Beak: Short - Gray, Outerwear: Hoodie, Eyes: Discerning - Yellow, Eyewear: Eyepatch, Headwear: Moon Hat
ArbiBird #8895: Background: Blue, Body: Emperor - Red, Beak: Small - Golden, Outerwear: Punk Jacket, Eyes: Discerning - White, Eyewear: Rose-Colored Glasses, Headwear: Headband
ArbiBird #8896: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Short - Golden, Outerwear: Gold Chain, Eyes: Open - Fire, Eyewear: None, Headwear: Forest Ranger
ArbiBird #8897: Background: Blue, Body: Stark - Blue, Beak: Short (Jade), Outerwear: Hoodie, Eyes: Open - Golden, Eyewear: Half-moon Spectacles, Headwear: Queen's Crown
ArbiBird #8898: Background: Blue, Body: Brave - Black, Beak: Short - Skeleton, Outerwear: Bomber Jacket, Eyes: Angry - Blue, Eyewear: Monocle, Headwear: Space Helmet
ArbiBird #8899: Background: Blue, Body: Skeleton - Bone, Beak: Short - Robot, Outerwear: Punk Jacket, Eyes: Glitch 4, Eyewear: 3D Glasses, Headwear: Chromie
ArbiBird #8900: Background: Blue, Body: Professor - Brown, Beak: Long - Ruby, Outerwear: Diamond Necklace, Eyes: Open - Fire, Eyewear: Half-moon Spectacles, Headwear: Diamond
ArbiBird #8901: Background: Blue, Body: Stark - Pink, Beak: Small - Golden, Outerwear: Hoodie, Eyes: Discerning - Red, Eyewear: Eyepatch, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #8902: Background: Blue, Body: Golden - Legendary Sage, Beak: Long - Orange, Outerwear: Diamond Necklace, Eyes: Open - Diamond, Eyewear: Big Tech, Headwear: Dancing Flame
ArbiBird #8903: Background: Blue, Body: Sage - Brown, Beak: Short - Ruby, Outerwear: Punk Jacket, Eyes: Discerning - Golden, Eyewear: Monocle, Headwear: Parliament Mask (Jade)
